locus_tag,gene_name,chrom,start,end,strand,promoter_start,promoter_end
STBHUCCB_RS00005,thrL,NC_016832.1,190,255,+,1,239
STBHUCCB_RS00010,thrA,NC_016832.1,337,2799,+,37,386
STBHUCCB_RS00015,thrB,NC_016832.1,2801,3730,+,2501,2850
STBHUCCB_RS00020,thrC,NC_016832.1,3734,5020,+,3434,3783
STBHUCCB_RS00025,yaaA,NC_016832.1,5114,5887,-,5837,6186
STBHUCCB_RS00030,STBHUCCB_RS00030,NC_016832.1,5966,7396,-,7346,7695
STBHUCCB_RS00035,tal,NC_016832.1,7665,8618,+,7365,7714
STBHUCCB_RS00040,mog,NC_016832.1,8729,9319,+,8429,8778
STBHUCCB_RS00045,satP,NC_016832.1,9376,9942,-,9892,10241
STBHUCCB_RS00050,msyB,NC_016832.1,10092,10805,-,10755,11104
STBHUCCB_RS00055,STBHUCCB_RS00055,NC_016832.1,10841,11245,-,11195,11544
STBHUCCB_RS00060,dnaK,NC_016832.1,11594,13510,+,11294,11643
STBHUCCB_RS00065,dnaJ,NC_016832.1,13596,14735,+,13296,13645
STBHUCCB_RS00070,STBHUCCB_RS00070,NC_016832.1,15020,15967,+,14720,15069
STBHUCCB_RS00075,STBHUCCB_RS00075,NC_016832.1,16094,16438,+,15794,16143
STBHUCCB_RS00080,STBHUCCB_RS00080,NC_016832.1,16499,17032,-,16982,17331
STBHUCCB_RS00085,STBHUCCB_RS00085,NC_016832.1,17049,17492,-,17442,17791
STBHUCCB_RS00090,STBHUCCB_RS00090,NC_016832.1,17873,19972,+,17573,17922
STBHUCCB_RS00100,STBHUCCB_RS00100,NC_016832.1,23341,24045,+,23041,23390
STBHUCCB_RS00105,STBHUCCB_RS00105,NC_016832.1,24473,25015,+,24173,24522
STBHUCCB_RS00110,bcfB,NC_016832.1,25116,25802,+,24816,25165
STBHUCCB_RS00120,STBHUCCB_RS00120,NC_016832.1,28429,29436,+,28129,28478
STBHUCCB_RS00125,STBHUCCB_RS00125,NC_016832.1,29437,29982,+,29137,29486
STBHUCCB_RS00130,STBHUCCB_RS00130,NC_016832.1,29998,30516,+,29698,30047
STBHUCCB_RS00135,bcfG,NC_016832.1,30482,31213,+,30182,30531
STBHUCCB_RS00140,STBHUCCB_RS00140,NC_016832.1,31278,32123,+,30978,31327
STBHUCCB_RS00145,STBHUCCB_RS00145,NC_016832.1,32162,32449,+,31862,32211
STBHUCCB_RS00150,STBHUCCB_RS00150,NC_016832.1,32549,32998,-,32948,33297
STBHUCCB_RS00155,STBHUCCB_RS00155,NC_016832.1,33368,34363,+,33068,33417
