locus_tag,gene_name,chrom,start,end,strand,promoter_start,promoter_end
LW89_RS00010,rfbH,NZ_CP009559.1,257,1570,-,1520,1869
LW89_RS00015,rfbG,NZ_CP009559.1,1597,2676,-,2626,2975
LW89_RS00020,rfbF,NZ_CP009559.1,2681,3454,-,3404,3753
LW89_RS00030,rfbC,NZ_CP009559.1,4450,5001,-,4951,5300
LW89_RS00035,rfbA,NZ_CP009559.1,5002,5880,-,5830,6179
LW89_RS00040,rfbD,NZ_CP009559.1,5928,6827,-,6777,7126
LW89_RS00045,rfbB,NZ_CP009559.1,6827,7912,-,7862,8211
LW89_RS00055,wcaM,NZ_CP009559.1,9360,10763,-,10713,11062
LW89_RS00060,LW89_RS00060,NZ_CP009559.1,10774,11913,-,11863,12212
LW89_RS00070,wzxC,NZ_CP009559.1,13212,14690,-,14640,14989
LW89_RS00080,cpsG,NZ_CP009559.1,16240,17610,-,17560,17909
LW89_RS00085,cpsB,NZ_CP009559.1,17721,19163,-,19113,19462
LW89_RS00090,wcaI,NZ_CP009559.1,19160,20383,-,20333,20682
LW89_RS00095,LW89_RS00095,NZ_CP009559.1,20380,20853,-,20803,21152
LW89_RS00100,fcl,NZ_CP009559.1,20856,21821,-,21771,22120
LW89_RS00105,gmd,NZ_CP009559.1,21824,22945,-,22895,23244
LW89_RS00110,wcaF,NZ_CP009559.1,22969,23523,-,23473,23822
LW89_RS00115,wcaE,NZ_CP009559.1,23539,24285,-,24235,24584
LW89_RS00120,wcaD,NZ_CP009559.1,24298,25512,-,25462,25811
LW89_RS00125,wcaC,NZ_CP009559.1,25487,26704,-,26654,27003
LW89_RS00130,wcaB,NZ_CP009559.1,26701,27189,-,27139,27488
LW89_RS00135,wcaA,NZ_CP009559.1,27192,28034,-,27984,28333
LW89_RS00140,wzc,NZ_CP009559.1,28121,30280,-,30230,30579
LW89_RS00145,wzb,NZ_CP009559.1,30277,30726,-,30676,31025
LW89_RS00150,LW89_RS00150,NZ_CP009559.1,30732,31871,-,31821,32170
LW89_RS00155,LW89_RS00155,NZ_CP009559.1,32546,34105,+,32246,32595
LW89_RS00160,asmA,NZ_CP009559.1,34200,36056,-,36006,36355
LW89_RS00165,dcd,NZ_CP009559.1,36095,36676,-,36626,36975
LW89_RS00170,udk,NZ_CP009559.1,36767,37408,-,37358,37707
LW89_RS00175,LW89_RS00175,NZ_CP009559.1,37739,40729,+,37439,37788
LW89_RS00180,alkA,NZ_CP009559.1,40697,41566,-,41516,41865
LW89_RS00185,yegD,NZ_CP009559.1,41700,43052,+,41400,41749
LW89_RS24600,LW89_RS24600,NZ_CP009559.1,43151,43210,-,43160,43509
LW89_RS25015,LW89_RS25015,NZ_CP009559.1,43289,43570,-,43520,43869
LW89_RS00195,mdtB,NZ_CP009559.1,44709,47831,+,44409,44758
LW89_RS00200,mdtC,NZ_CP009559.1,47832,50912,+,47532,47881
LW89_RS00205,LW89_RS00205,NZ_CP009559.1,50909,52321,+,50609,50958
LW89_RS00210,baeS,NZ_CP009559.1,52321,53724,+,52021,52370
LW89_RS00215,baeR,NZ_CP009559.1,53721,54443,+,53421,53770
LW89_RS00220,LW89_RS00220,NZ_CP009559.1,54712,55914,+,54412,54761
LW89_RS00230,LW89_RS00230,NZ_CP009559.1,56642,58753,+,56342,56691
LW89_RS00235,LW89_RS00235,NZ_CP009559.1,58793,59476,+,58493,58842
LW89_RS00240,LW89_RS00240,NZ_CP009559.1,59607,60335,-,60285,60634
LW89_RS00245,LW89_RS00245,NZ_CP009559.1,60447,60890,-,60840,61189
LW89_RS00260,LW89_RS00260,NZ_CP009559.1,62514,62942,-,62892,63241
LW89_RS00265,LW89_RS00265,NZ_CP009559.1,63010,63546,-,63496,63845
LW89_RS00270,LW89_RS00270,NZ_CP009559.1,63620,64120,-,64070,64419
LW89_RS00275,LW89_RS00275,NZ_CP009559.1,64250,64552,-,64502,64851
LW89_RS22780,LW89_RS22780,NZ_CP009559.1,64562,64924,-,64874,65223
LW89_RS00280,LW89_RS00280,NZ_CP009559.1,65361,65780,-,65730,66079
LW89_RS00295,LW89_RS00295,NZ_CP009559.1,66436,67053,-,67003,67352
LW89_RS00300,yegQ,NZ_CP009559.1,67217,68578,+,66917,67266
LW89_RS00310,LW89_RS00310,NZ_CP009559.1,69430,69858,-,69808,70157
LW89_RS00315,LW89_RS00315,NZ_CP009559.1,69926,70408,-,70358,70707
LW89_RS00320,LW89_RS00320,NZ_CP009559.1,70535,71035,-,70985,71334
LW89_RS00325,LW89_RS00325,NZ_CP009559.1,71165,71467,-,71417,71766
LW89_RS24235,LW89_RS24235,NZ_CP009559.1,71477,71740,-,71690,72039
LW89_RS22790,LW89_RS22790,NZ_CP009559.1,71712,71912,-,71862,72211
LW89_RS00330,LW89_RS00330,NZ_CP009559.1,72349,72768,-,72718,73067
LW89_RS00340,LW89_RS00340,NZ_CP009559.1,73424,74041,-,73991,74340
LW89_RS00345,yegQ,NZ_CP009559.1,74205,75566,+,73905,74254
LW89_RS00350,LW89_RS00350,NZ_CP009559.1,76183,76599,-,76549,76898
