locus_tag,gene_name,chrom,start,end,strand,promoter_start,promoter_end
ABUJ63_RS00005,adhE,NZ_JBEQJH010000001.1,1,1825,-,1775,2124
ABUJ63_RS00010,ABUJ63_RS00010,NZ_JBEQJH010000001.1,2302,2949,+,2002,2351
ABUJ63_RS00015,oppA,NZ_JBEQJH010000001.1,3726,5357,+,3426,3775
ABUJ63_RS00020,oppB,NZ_JBEQJH010000001.1,5480,6400,+,5180,5529
ABUJ63_RS00025,oppC,NZ_JBEQJH010000001.1,6415,7323,+,6115,6464
ABUJ63_RS00030,ABUJ63_RS00030,NZ_JBEQJH010000001.1,7335,8342,+,7035,7384
ABUJ63_RS00035,oppF,NZ_JBEQJH010000001.1,8339,9343,+,8039,8388
ABUJ63_RS00040,ABUJ63_RS00040,NZ_JBEQJH010000001.1,9391,10227,+,9091,9440
ABUJ63_RS00045,ABUJ63_RS00045,NZ_JBEQJH010000001.1,10275,10604,-,10554,10903
ABUJ63_RS00050,cls,NZ_JBEQJH010000001.1,10638,12098,-,12048,12397
ABUJ63_RS00055,ABUJ63_RS00055,NZ_JBEQJH010000001.1,12241,12414,+,11941,12290
ABUJ63_RS00060,ABUJ63_RS00060,NZ_JBEQJH010000001.1,12458,12754,-,12704,13053
ABUJ63_RS00065,tonB,NZ_JBEQJH010000001.1,12978,13688,+,12678,13027
ABUJ63_RS00070,yciA,NZ_JBEQJH010000001.1,13748,14149,-,14099,14448
ABUJ63_RS00075,ABUJ63_RS00075,NZ_JBEQJH010000001.1,14310,14849,-,14799,15148
ABUJ63_RS00080,ABUJ63_RS00080,NZ_JBEQJH010000001.1,14906,15649,-,15599,15948
ABUJ63_RS00085,ABUJ63_RS00085,NZ_JBEQJH010000001.1,15675,16079,-,16029,16378
ABUJ63_RS00090,ompW,NZ_JBEQJH010000001.1,16416,17054,+,16116,16465
ABUJ63_RS00095,ABUJ63_RS00095,NZ_JBEQJH010000001.1,17136,18014,-,17964,18313
ABUJ63_RS00100,ABUJ63_RS00100,NZ_JBEQJH010000001.1,18034,18540,-,18490,18839
ABUJ63_RS00105,ABUJ63_RS00105,NZ_JBEQJH010000001.1,18614,19117,-,19067,19416
ABUJ63_RS00110,ABUJ63_RS00110,NZ_JBEQJH010000001.1,19207,19389,-,19339,19688
ABUJ63_RS00115,trpA,NZ_JBEQJH010000001.1,19869,20675,-,20625,20974
ABUJ63_RS00120,trpB,NZ_JBEQJH010000001.1,20675,21868,-,21818,22167
ABUJ63_RS00125,trpCF,NZ_JBEQJH010000001.1,21878,23236,-,23186,23535
ABUJ63_RS00130,trpD,NZ_JBEQJH010000001.1,23240,24835,-,24785,25134
ABUJ63_RS00135,ABUJ63_RS00135,NZ_JBEQJH010000001.1,24835,26397,-,26347,26696
ABUJ63_RS00140,trpL,NZ_JBEQJH010000001.1,26492,26536,-,26486,26835
ABUJ63_RS00145,rnm,NZ_JBEQJH010000001.1,26658,27539,+,26358,26707
ABUJ63_RS00150,ABUJ63_RS00150,NZ_JBEQJH010000001.1,27547,28167,+,27247,27596
ABUJ63_RS00155,rluB,NZ_JBEQJH010000001.1,28268,29143,+,27968,28317
ABUJ63_RS00160,cobO,NZ_JBEQJH010000001.1,29230,29820,-,29770,30119
ABUJ63_RS00165,ABUJ63_RS00165,NZ_JBEQJH010000001.1,29817,30578,-,30528,30877
ABUJ63_RS00170,sohB,NZ_JBEQJH010000001.1,30816,31862,+,30516,30865
ABUJ63_RS00175,ABUJ63_RS00175,NZ_JBEQJH010000001.1,31904,32155,-,32105,32454
