locus_tag,gene_name,chrom,start,end,strand,promoter_start,promoter_end
A628_RS00005,glyS,NZ_KI635571.1,279,2348,-,2298,2647
A628_RS00010,glyQ,NZ_KI635571.1,2358,3269,-,3219,3568
A628_RS00015,A628_RS00015,NZ_KI635571.1,3408,3710,-,3660,4009
A628_RS00020,A628_RS00020,NZ_KI635571.1,3876,4871,+,3576,3925
A628_RS00025,A628_RS00025,NZ_KI635571.1,4894,5247,-,5197,5546
A628_RS00030,xylB,NZ_KI635571.1,5422,6876,-,6826,7175
A628_RS00035,xylA,NZ_KI635571.1,6976,8298,-,8248,8597
A628_RS00040,xylR,NZ_KI635571.1,8661,9839,+,8361,8710
A628_RS00045,A628_RS00045,NZ_KI635571.1,9900,10724,-,10674,11023
A628_RS00055,A628_RS00055,NZ_KI635571.1,11040,13067,+,10740,11089
A628_RS00060,avtA,NZ_KI635571.1,13241,14491,+,12941,13290
A628_RS00065,A628_RS00065,NZ_KI635571.1,14528,15001,-,14951,15300
A628_RS00070,yiaJ,NZ_KI635571.1,15118,15918,-,15868,16217
A628_RS00075,yiaK,NZ_KI635571.1,16148,17146,+,15848,16197
A628_RS00080,A628_RS00080,NZ_KI635571.1,17158,17622,+,16858,17207
A628_RS00085,A628_RS00085,NZ_KI635571.1,17646,18578,+,17346,17695
A628_RS00090,yiaM,NZ_KI635571.1,18717,19190,+,18417,18766
A628_RS00095,yiaN,NZ_KI635571.1,19193,20470,+,18893,19242
A628_RS00100,yiaO,NZ_KI635571.1,20482,21468,+,20182,20531
A628_RS00105,A628_RS00105,NZ_KI635571.1,21472,22968,+,21172,21521
A628_RS00110,ulaD,NZ_KI635571.1,22965,23627,+,22665,23014
A628_RS00115,A628_RS00115,NZ_KI635571.1,23620,24480,+,23320,23669
A628_RS00120,araD,NZ_KI635571.1,24474,25169,+,24174,24523
A628_RS00125,A628_RS00125,NZ_KI635571.1,25330,26145,-,26095,26444
A628_RS00130,A628_RS00130,NZ_KI635571.1,26409,28364,+,26109,26458
A628_RS00135,aldB,NZ_KI635571.1,28482,30020,-,29970,30319
A628_RS00140,A628_RS00140,NZ_KI635571.1,30189,31070,+,29889,30238
A628_RS00145,selB,NZ_KI635571.1,31318,33168,-,33118,33467
A628_RS00150,selA,NZ_KI635571.1,33165,34556,-,34506,34855
A628_RS00155,A628_RS00155,NZ_KI635571.1,34655,35263,-,35213,35562
A628_RS00160,mtlA,NZ_KI635571.1,35739,37655,+,35439,35788
A628_RS00165,mtlD,NZ_KI635571.1,37886,39034,+,37586,37935
A628_RS00170,mtlR,NZ_KI635571.1,39031,39621,+,38731,39080
A628_RS00175,A628_RS00175,NZ_KI635571.1,39631,39840,-,39790,40139
A628_RS00180,A628_RS00180,NZ_KI635571.1,40131,40493,+,39831,40180
