locus_tag,gene_name,chrom,start,end,strand,promoter_start,promoter_end
STM0001,thrL,NC_003197.2,190,255,+,1,239
STM0002,thrA,NC_003197.2,325,2799,+,25,374
STM0003,thrB,NC_003197.2,2789,3730,+,2489,2838
STM0004,thrC,NC_003197.2,3722,5020,+,3422,3771
STM0005,yaaA,NC_003197.2,5114,5898,-,5848,6197
STM0006,yaaJ,NC_003197.2,5966,7407,-,7357,7706
STM0007,talB,NC_003197.2,7652,8618,+,7352,7701
STM0008,mog,NC_003197.2,8718,9319,+,8418,8767
STM0009,yaaH,NC_003197.2,9376,9950,-,9900,10249
STM0010,htgA,NC_003197.2,10092,10811,-,10761,11110
STM0011,yaaI,NC_003197.2,10841,11255,-,11205,11554
STM0012,dnaK,NC_003197.2,11579,13509,+,11279,11628
STM0013,dnaJ,NC_003197.2,13577,14734,+,13277,13626
STM0014,STM0014,NC_003197.2,15007,15961,+,14707,15056
STM0015,STM0015,NC_003197.2,16083,16432,+,15783,16132
STM0016,STM0016,NC_003197.2,16493,17033,-,16983,17332
STM0017,STM0017,NC_003197.2,17043,17493,-,17443,17792
STM0018,STM0018,NC_003197.2,17860,19966,+,17560,17909
STM0019,STM0019,NC_003197.2,20051,23054,+,19751,20100
STM0020,STM0020,NC_003197.2,23335,24039,+,23035,23384
STM0021,bcfA,NC_003197.2,24462,25011,+,24162,24511
STM0022,bcfB,NC_003197.2,25105,25798,+,24805,25154
STM0023,bcfC,NC_003197.2,25803,28424,+,25503,25852
STM0024,bcfD,NC_003197.2,28410,29432,+,28110,28459
STM0025,bcfE,NC_003197.2,29418,29978,+,29118,29467
STM0026,bcfF,NC_003197.2,29977,30512,+,29677,30026
STM0027,bcfG,NC_003197.2,30466,31209,+,30166,30515
STM0028,bcfH,NC_003197.2,31270,32119,+,30970,31319
STM0029,STM0029,NC_003197.2,32545,33000,-,32950,33299
STM0030,STM0030,NC_003197.2,33357,34368,+,33057,33406
STM0031,STM0031,NC_003197.2,34376,34816,-,34766,35115
STM0032,STM0032,NC_003197.2,35331,37057,+,35031,35380
STM0033,STM0033,NC_003197.2,37103,38674,-,38624,38973
STM0034,STM0034,NC_003197.2,38773,39540,-,39490,39839
STM0035,STM0035,NC_003197.2,40120,41624,+,39820,40169
STM0036,STM0036,NC_003197.2,41717,42913,+,41417,41766
STM0037,STM0037,NC_003197.2,42926,44185,+,42626,42975
STM0038,STM0038,NC_003197.2,44305,46027,+,44005,44354
STM0039,nhaA,NC_003197.2,46083,47356,+,45783,46132
STM0040,nhaR,NC_003197.2,47407,48317,+,47107,47456
STM0041,STM0041,NC_003197.2,48372,50417,-,50367,50716
STM0042,STM0042,NC_003197.2,50451,51829,-,51779,52128
STM0043,rpsT,NC_003197.2,52280,52550,-,52500,52849
STM0044,yaaY,NC_003197.2,52649,52864,+,52349,52698
STM0045,ribF,NC_003197.2,52872,53810,+,52572,52921
STM0046,ileS,NC_003197.2,53838,56689,+,53538,53887
STM0047,lspA,NC_003197.2,56689,57189,+,56389,56738
STM0048,slpA,NC_003197.2,57328,57793,+,57028,57377
STM0049,lytB,NC_003197.2,57782,58746,+,57482,57831
STM0050,STM0050,NC_003197.2,58940,60148,+,58640,58989
STM0051,rihC,NC_003197.2,60151,61084,+,59851,60200
STM0052,STM0052,NC_003197.2,61106,61797,-,61747,62096
STM0053,STM0053,NC_003197.2,61794,63413,-,63363,63712
STM0054,STM0054,NC_003197.2,63548,64855,-,64805,65154
STM0055,STM0055,NC_003197.2,64862,66644,-,66594,66943
STM0056,STM0056,NC_003197.2,66654,66899,-,66849,67198
STM0057,STM0057,NC_003197.2,67052,68400,-,68350,68699
STM0058,citC2,NC_003197.2,68637,69680,+,68337,68686
STM0059,citD2,NC_003197.2,69703,70003,+,69403,69752
STM0060,citE2,NC_003197.2,69994,70869,+,69694,70043
STM0061,citF2,NC_003197.2,70873,72400,+,70573,70922
STM0062,citX2,NC_003197.2,72394,72951,+,72094,72443
STM0063,citG2,NC_003197.2,72923,73837,+,72623,72972
STM0064,dapB,NC_003197.2,74007,74838,+,73707,74056
STM0065,STM0065,NC_003197.2,75088,75435,+,74788,75137
STM0066,carA,NC_003197.2,75812,77028,+,75512,75861
STM0067,carB,NC_003197.2,77030,80274,+,76730,77079
STM0068,caiF,NC_003197.2,80459,80943,+,80159,80508
