locus_tag,gene_name,chrom,start,end,strand,promoter_start,promoter_end
HFU19_RS00005,dnaA,NZ_CP051310.1,1,1401,+,1,50
HFU19_RS00010,dnaN,NZ_CP051310.1,1406,2506,+,1106,1455
HFU19_RS00015,recF,NZ_CP051310.1,2654,3727,+,2354,2703
HFU19_RS00020,gyrB,NZ_CP051310.1,3756,6170,+,3456,3805
HFU19_RS00025,HFU19_RS00025,NZ_CP051310.1,6189,7085,-,7035,7384
HFU19_RS00030,HFU19_RS00030,NZ_CP051310.1,7200,8393,-,8343,8692
HFU19_RS00035,HFU19_RS00035,NZ_CP051310.1,8407,9669,-,9619,9968
HFU19_RS00040,yidA,NZ_CP051310.1,9976,10821,+,9676,10025
HFU19_RS00045,dgoR,NZ_CP051310.1,11082,11771,+,10782,11131
HFU19_RS00050,HFU19_RS00050,NZ_CP051310.1,11768,12646,+,11468,11817
HFU19_RS00055,HFU19_RS00055,NZ_CP051310.1,12630,13247,+,12330,12679
HFU19_RS00060,dgoD,NZ_CP051310.1,13244,14392,+,12944,13293
HFU19_RS00065,HFU19_RS00065,NZ_CP051310.1,14477,15814,+,14177,14526
HFU19_RS00070,torS,NZ_CP051310.1,15840,18575,-,18525,18874
HFU19_RS00075,torT,NZ_CP051310.1,18655,19695,+,18355,18704
HFU19_RS00080,torR,NZ_CP051310.1,19668,20360,-,20310,20659
HFU19_RS00085,torC,NZ_CP051310.1,20490,21674,+,20190,20539
HFU19_RS00090,torA,NZ_CP051310.1,21664,24216,+,21364,21713
HFU19_RS00095,torD,NZ_CP051310.1,24209,24841,+,23909,24258
HFU19_RS00100,HFU19_RS00100,NZ_CP051310.1,25031,26431,+,24731,25080
HFU19_RS00105,ccmA,NZ_CP051310.1,26437,27054,+,26137,26486
HFU19_RS00110,ccmB,NZ_CP051310.1,27051,27710,+,26751,27100
HFU19_RS00115,HFU19_RS00115,NZ_CP051310.1,27762,28499,+,27462,27811
HFU19_RS00120,ccmD,NZ_CP051310.1,28496,28708,+,28196,28545
HFU19_RS00125,ccmE,NZ_CP051310.1,28705,29184,+,28405,28754
HFU19_RS00130,HFU19_RS00130,NZ_CP051310.1,29181,31112,+,28881,29230
HFU19_RS00135,dsbE,NZ_CP051310.1,31109,31666,+,30809,31158
HFU19_RS00140,HFU19_RS00140,NZ_CP051310.1,31663,32706,+,31363,31712
HFU19_RS00145,HFU19_RS00145,NZ_CP051310.1,32828,34054,+,32528,32877
HFU19_RS00150,HFU19_RS00150,NZ_CP051310.1,34056,34388,-,34338,34687
HFU19_RS00155,ibpA,NZ_CP051310.1,34698,35111,+,34398,34747
HFU19_RS00160,ibpB,NZ_CP051310.1,35220,35648,+,34920,35269
HFU19_RS00165,HFU19_RS00165,NZ_CP051310.1,35837,37498,+,35537,35886
HFU19_RS00170,HFU19_RS00170,NZ_CP051310.1,37660,37806,-,37756,38105
HFU19_RS00175,HFU19_RS00175,NZ_CP051310.1,37942,38289,+,37642,37991
HFU19_RS00180,HFU19_RS00180,NZ_CP051310.1,38279,38641,+,37979,38328
HFU19_RS00185,HFU19_RS00185,NZ_CP051310.1,38638,39168,+,38338,38687
HFU19_RS00190,dsdA,NZ_CP051310.1,39250,40572,-,40522,40871
HFU19_RS00195,dsdX,NZ_CP051310.1,40590,41927,-,41877,42226
HFU19_RS00200,dsdC,NZ_CP051310.1,42153,43076,+,41853,42202
HFU19_RS00205,HFU19_RS00205,NZ_CP051310.1,43140,44225,+,42840,43189
HFU19_RS00210,emrD,NZ_CP051310.1,44152,45336,-,45286,45635
HFU19_RS00215,HFU19_RS00215,NZ_CP051310.1,45539,46399,-,46349,46698
HFU19_RS00220,tisB,NZ_CP051310.1,46492,46581,-,46531,46880
HFU19_RS00230,ivbL,NZ_CP051310.1,47215,47313,+,46915,47264
HFU19_RS00235,ilvB,NZ_CP051310.1,47420,49108,+,47120,47469
HFU19_RS00240,ilvN,NZ_CP051310.1,49112,49402,+,48812,49161
HFU19_RS00245,HFU19_RS00245,NZ_CP051310.1,49404,50189,-,50139,50488
HFU19_RS00250,rbsK,NZ_CP051310.1,50514,51434,+,50214,50563
HFU19_RS00255,fucP,NZ_CP051310.1,51465,52781,+,51165,51514
HFU19_RS00260,HFU19_RS00260,NZ_CP051310.1,52793,53806,+,52493,52842
HFU19_RS00265,uhpA,NZ_CP051310.1,53881,54471,+,53581,53930
HFU19_RS00270,uhpB,NZ_CP051310.1,54471,55973,+,54171,54520
HFU19_RS00275,HFU19_RS00275,NZ_CP051310.1,55983,57311,+,55683,56032
HFU19_RS00280,uhpT,NZ_CP051310.1,57454,58845,+,57154,57503
HFU19_RS00285,HFU19_RS00285,NZ_CP051310.1,59038,59490,+,58738,59087
HFU19_RS00290,HFU19_RS00290,NZ_CP051310.1,59843,60586,+,59543,59892
HFU19_RS00295,HFU19_RS00295,NZ_CP051310.1,60604,61077,+,60304,60653
HFU19_RS00300,HFU19_RS00300,NZ_CP051310.1,61074,61361,+,60774,61123
HFU19_RS00305,HFU19_RS00305,NZ_CP051310.1,61437,62795,+,61137,61486
HFU19_RS00310,HFU19_RS00310,NZ_CP051310.1,62788,64272,+,62488,62837
HFU19_RS00315,HFU19_RS00315,NZ_CP051310.1,64335,65195,+,64035,64384
HFU19_RS00320,HFU19_RS00320,NZ_CP051310.1,65205,65474,+,64905,65254
HFU19_RS00325,HFU19_RS00325,NZ_CP051310.1,65565,65888,-,65838,66187
HFU19_RS00330,HFU19_RS00330,NZ_CP051310.1,65872,66231,-,66181,66530
HFU19_RS00335,nepI,NZ_CP051310.1,66447,67640,+,66147,66496
HFU19_RS00340,HFU19_RS00340,NZ_CP051310.1,67700,69082,-,69032,69381
HFU19_RS00345,HFU19_RS00345,NZ_CP051310.1,69188,69481,-,69431,69780
HFU19_RS00350,dagR,NZ_CP051310.1,69678,72476,+,69378,69727
HFU19_RS00355,HFU19_RS00355,NZ_CP051310.1,72695,73120,+,72395,72744
HFU19_RS00360,HFU19_RS00360,NZ_CP051310.1,73131,73616,+,72831,73180
