Ortholog_Group,ArcA,DcuR,Fnr,NarL,NarP,NsrR,TtrR
10Sa,0,0,1,0,0,0,0
A628_RS00020,0,0,0,1,1,0,0
A628_RS00025,1,0,0,0,0,1,1
A628_RS00065,0,0,0,1,0,1,0
A628_RS00080,1,0,0,1,1,0,0
A628_RS00085,0,1,1,0,0,0,0
A628_RS00105,0,0,0,1,1,1,0
A628_RS00115,1,0,0,0,0,0,0
A628_RS00155,0,1,0,0,0,0,1
A628_RS00175,0,0,0,0,0,1,0
A628_RS00180,0,0,1,0,0,1,0
A628_RS00185,0,1,1,0,0,0,1
A628_RS00240,0,0,0,0,1,0,0
A628_RS00245,1,0,0,0,0,0,0
A628_RS00285,0,0,0,0,1,0,0
A628_RS00295,0,0,1,0,0,0,0
A628_RS00315,0,0,0,1,0,0,0
A628_RS00325,0,1,1,0,0,0,0
A628_RS00350,0,1,0,0,0,1,0
A628_RS00355,0,0,1,0,0,0,0
A628_RS00360,1,0,1,0,0,0,0
A628_RS00365,0,1,1,0,0,0,0
A628_RS00380,1,0,0,1,0,0,0
A628_RS00385,0,0,1,1,0,0,0
A628_RS00390,0,0,0,1,1,0,0
A628_RS00405,0,0,1,0,0,0,0
A628_RS00410,0,0,1,0,0,0,1
A628_RS00415,0,0,1,0,0,0,0
A628_RS00525,0,0,0,1,1,0,0
A628_RS00535,1,0,0,0,0,0,0
A628_RS00555,0,0,0,0,1,1,0
A628_RS00605,0,0,1,0,0,0,0
A628_RS00815,0,0,0,0,1,0,0
A628_RS00820,0,0,0,0,0,1,0
A628_RS00825,0,1,0,0,0,0,0
A628_RS00830,0,0,0,0,1,0,0
A628_RS00845,1,0,0,0,1,0,0
A628_RS00850,0,0,0,1,0,0,0
A628_RS00865,0,0,0,1,0,1,1
A628_RS00880,1,0,0,0,0,1,0
A628_RS00890,1,0,0,0,0,0,0
A628_RS00895,0,0,0,1,1,0,0
A628_RS00925,1,0,0,1,0,0,0
A628_RS00930,0,0,0,0,0,1,0
A628_RS00945,1,0,0,0,0,0,0
A628_RS01035,0,1,0,0,0,0,1
A628_RS01065,0,0,0,0,0,1,0
A628_RS01080,0,0,0,0,0,1,0
A628_RS01100,0,0,1,0,0,0,0
A628_RS01110,0,1,0,0,0,0,0
A628_RS01135,0,0,1,0,0,0,0
A628_RS01145,0,0,0,0,1,1,0
A628_RS01200,0,1,0,0,0,0,0
A628_RS01245,0,0,0,0,1,0,0
A628_RS01250,1,0,0,1,0,1,0
A628_RS01255,0,1,0,0,1,0,0
A628_RS01265,0,1,1,1,0,0,0
A628_RS01270,0,1,0,0,0,0,0
A628_RS01280,0,0,0,0,0,0,1
A628_RS01285,0,0,0,0,0,0,1
A628_RS01300,0,1,0,0,0,0,0
A628_RS01310,0,1,1,0,0,0,0
A628_RS01320,1,0,0,0,0,0,0
A628_RS01325,0,0,0,1,0,0,0
A628_RS01350,0,1,0,0,0,0,1
A628_RS01365,0,0,0,0,1,0,0
A628_RS01370,0,0,0,0,0,0,1
A628_RS01375,0,0,0,0,0,1,0
A628_RS01400,0,0,0,1,1,0,0
A628_RS01405,0,0,0,1,0,0,1
A628_RS01410,1,0,0,0,0,0,0
A628_RS01425,0,1,0,0,0,0,0
A628_RS01435,0,1,1,0,0,0,0
A628_RS01510,1,0,0,1,1,1,0
A628_RS01540,1,0,0,0,1,1,0
A628_RS01555,1,0,0,0,0,1,0
A628_RS01570,0,0,0,0,1,0,0
A628_RS01575,0,1,0,0,0,0,0
A628_RS01580,0,1,0,0,0,0,0
A628_RS01585,0,1,1,0,0,0,0
A628_RS01590,0,1,1,0,0,0,0
A628_RS01650,0,0,0,0,0,1,1
A628_RS01655,0,0,1,0,0,0,0
A628_RS01665,0,0,0,1,0,0,0
A628_RS01670,0,0,1,1,0,0,0
A628_RS01675,1,0,0,0,0,0,0
A628_RS01680,0,0,0,1,0,0,0
A628_RS01700,0,1,0,0,0,0,0
A628_RS01720,1,0,0,1,0,1,0
A628_RS01735,0,1,0,1,0,0,1
A628_RS01755,0,0,0,0,1,0,0
A628_RS01770,0,0,1,0,0,0,1
A628_RS01775,0,0,0,0,1,0,0
A628_RS01790,0,0,0,0,0,1,0
A628_RS01800,0,0,0,1,1,0,0
A628_RS01805,0,1,0,0,0,0,0
A628_RS01815,0,0,0,0,1,1,0
A628_RS01825,1,0,0,0,0,0,0
A628_RS01840,1,0,0,0,0,0,0
A628_RS01860,0,1,0,0,0,0,0
A628_RS01910,0,0,0,1,1,0,0
A628_RS01915,0,0,1,0,0,0,0
A628_RS01930,1,0,0,0,1,0,0
A628_RS01940,0,0,1,0,0,0,0
A628_RS01945,0,0,0,1,0,0,0
A628_RS01950,0,0,0,1,0,0,0
A628_RS01970,0,0,0,1,1,0,0
A628_RS01985,0,0,0,1,0,0,0
A628_RS01995,1,0,0,0,0,1,0
A628_RS02000,0,0,0,1,1,0,1
A628_RS02010,1,0,0,0,0,1,0
A628_RS02015,0,0,0,0,0,1,0
A628_RS02060,1,0,0,0,0,0,0
A628_RS02095,0,0,0,0,0,1,0
A628_RS02100,0,0,0,1,0,0,0
A628_RS02120,0,0,0,0,0,0,1
A628_RS02155,0,0,0,1,1,1,0
A628_RS02160,0,0,0,0,0,1,0
A628_RS02165,1,0,1,0,1,1,0
A628_RS02195,0,0,0,0,1,0,0
A628_RS02240,0,0,0,0,1,0,0
A628_RS02250,0,1,0,0,0,0,0
A628_RS02265,1,0,0,0,1,0,0
A628_RS02290,1,0,0,0,1,1,0
A628_RS02295,1,0,0,0,1,0,0
A628_RS02300,0,0,0,1,0,0,0
A628_RS02305,1,0,0,1,0,0,0
A628_RS02330,0,0,1,0,1,0,0
A628_RS02370,0,0,1,0,0,0,0
A628_RS02415,0,0,0,1,0,0,0
A628_RS02420,1,0,0,0,1,0,0
A628_RS02460,0,1,1,0,0,0,0
A628_RS02550,0,0,1,0,0,0,0
A628_RS02560,1,0,0,0,0,1,0
A628_RS02565,1,0,0,0,0,0,0
A628_RS02585,0,0,0,0,1,0,0
A628_RS02600,0,1,1,0,0,0,0
A628_RS02610,1,0,0,0,0,0,0
A628_RS02620,0,0,1,0,0,0,1
A628_RS02625,0,1,0,0,0,0,0
A628_RS02650,0,0,1,0,1,0,0
A628_RS02655,0,0,0,0,1,1,0
A628_RS02660,0,0,0,0,0,1,0
A628_RS02665,1,0,0,0,0,0,0
A628_RS02700,0,0,0,0,0,1,0
A628_RS02725,1,0,0,0,1,0,0
A628_RS02730,0,0,1,0,0,1,0
A628_RS02740,0,0,1,0,0,0,0
A628_RS02745,0,1,0,0,0,0,1
A628_RS02750,0,0,1,0,0,0,0
A628_RS02755,0,0,0,1,1,0,0
A628_RS02760,0,0,0,0,1,0,0
A628_RS02765,0,1,0,0,0,0,0
A628_RS02770,1,0,0,0,1,1,0
A628_RS02775,1,0,0,0,1,0,0
A628_RS02780,0,0,0,0,1,0,0
A628_RS02785,1,0,0,0,0,1,0
A628_RS02790,0,0,0,1,0,1,0
A628_RS02825,1,0,0,0,1,0,0
A628_RS02830,0,0,0,0,0,0,1
A628_RS02850,0,0,1,0,0,0,0
A628_RS02875,0,0,0,0,1,0,0
A628_RS02880,1,0,0,0,1,0,1
A628_RS02895,0,0,0,1,0,0,0
A628_RS02900,0,0,0,1,0,1,0
A628_RS02920,1,0,0,0,0,0,0
A628_RS02945,0,0,1,1,0,0,0
A628_RS02950,0,0,0,0,0,1,0
A628_RS02955,0,0,0,0,0,1,0
A628_RS02960,0,0,0,0,0,1,0
A628_RS03060,0,0,0,0,0,0,1
A628_RS03065,1,0,0,0,0,0,0
A628_RS03095,0,0,0,0,1,0,0
A628_RS03120,0,1,0,0,0,0,1
A628_RS03130,0,0,1,0,0,0,1
A628_RS03135,1,0,0,0,0,1,0
A628_RS03140,0,0,0,0,0,1,0
A628_RS03150,0,0,1,0,0,0,0
A628_RS03155,1,0,0,1,0,0,0
A628_RS03165,0,1,0,0,0,0,1
A628_RS03170,0,0,0,0,0,1,0
A628_RS03175,0,1,0,0,0,0,0
A628_RS03230,1,0,0,0,0,0,0
A628_RS03235,0,0,1,0,0,0,0
A628_RS03265,0,0,0,1,0,0,0
A628_RS03295,0,0,1,0,0,0,0
A628_RS03315,1,0,0,0,0,0,0
A628_RS03325,0,0,1,0,0,0,0
A628_RS03335,0,0,1,0,1,0,0
A628_RS03340,0,0,1,0,0,0,0
A628_RS03345,0,0,0,0,0,0,1
A628_RS03355,0,0,0,1,1,0,0
A628_RS03360,0,0,0,0,0,1,0
A628_RS03365,0,0,0,0,0,1,0
A628_RS03395,1,0,0,0,0,0,0
A628_RS03405,0,0,0,0,0,0,1
A628_RS03410,0,0,1,0,0,0,0
A628_RS03415,1,0,0,0,0,0,0
A628_RS03425,0,0,0,1,0,0,0
A628_RS03435,0,0,0,0,0,1,0
A628_RS03445,1,0,0,1,0,0,0
A628_RS03450,1,0,0,0,0,0,0
A628_RS03455,1,0,0,1,0,0,0
A628_RS03460,1,0,0,1,0,1,0
A628_RS03465,0,0,0,0,1,0,0
A628_RS03470,0,0,0,1,0,0,0
A628_RS03475,0,0,1,0,0,0,1
A628_RS03480,1,0,0,1,0,0,0
A628_RS03485,1,0,0,1,0,0,0
