Gene_ID,ArcA,DcuR,Fnr,NarL,NarP,NsrR,TtrR
A628_RS00005,0,0,0,0,0,1,0
A628_RS00010,0,0,0,1,0,0,0
A628_RS00020,0,0,0,1,1,0,0
A628_RS00025,1,0,0,0,0,1,1
A628_RS00035,0,1,0,0,0,0,0
A628_RS00040,0,1,0,0,1,0,0
A628_RS00060,0,0,0,0,0,1,0
A628_RS00065,0,0,0,1,0,1,0
A628_RS00070,0,0,1,0,0,0,0
A628_RS00075,0,0,1,0,0,0,0
A628_RS00080,1,0,0,1,1,0,0
A628_RS00085,0,1,1,0,0,0,0
A628_RS00095,1,0,0,0,0,0,0
A628_RS00100,0,0,1,0,0,1,0
A628_RS00105,0,0,0,1,1,1,0
A628_RS00110,0,0,0,0,0,0,1
A628_RS00115,1,0,0,0,0,0,0
A628_RS00120,1,0,0,0,0,0,0
A628_RS00135,0,0,0,1,0,0,0
A628_RS00145,0,0,0,0,0,1,0
A628_RS00150,0,0,0,0,0,1,0
A628_RS00155,0,1,0,0,0,0,1
A628_RS00160,0,1,0,1,1,0,0
A628_RS00170,0,0,0,1,0,0,0
A628_RS00175,0,0,0,0,0,1,0
A628_RS00180,0,0,1,0,0,1,0
A628_RS00185,0,1,1,0,0,0,1
A628_RS00200,0,0,1,0,0,0,0
A628_RS00205,0,0,1,0,0,0,0
A628_RS00210,0,0,0,1,1,0,0
A628_RS00215,0,0,0,0,0,0,1
A628_RS00220,0,0,1,0,0,0,0
A628_RS00240,0,0,0,0,1,0,0
A628_RS00245,1,0,0,0,0,0,0
A628_RS00255,1,0,0,1,0,0,0
A628_RS00260,1,0,0,0,0,0,0
A628_RS00265,1,0,0,0,0,0,0
A628_RS00270,0,0,1,0,0,1,0
A628_RS00280,0,0,1,0,0,0,0
A628_RS00285,0,0,0,0,1,0,0
A628_RS00295,0,0,1,0,0,0,0
A628_RS00310,1,0,0,0,1,0,0
A628_RS00315,0,0,0,1,0,0,0
A628_RS00320,1,0,1,1,0,1,0
A628_RS00325,0,1,1,0,0,0,0
A628_RS00340,1,0,0,0,0,0,0
A628_RS00345,0,0,1,0,1,0,0
A628_RS00350,0,1,0,0,0,1,0
A628_RS00355,0,0,1,0,0,0,0
A628_RS00360,1,0,1,0,0,0,0
A628_RS00365,0,1,1,0,0,0,0
A628_RS00380,1,0,0,1,0,0,0
A628_RS00385,0,0,1,1,0,0,0
A628_RS00390,0,0,0,1,1,0,0
A628_RS00395,0,0,0,1,1,0,0
A628_RS00405,0,0,1,0,0,0,0
A628_RS00410,0,0,1,0,0,0,1
A628_RS00415,0,0,1,0,0,0,0
A628_RS00430,0,1,0,0,0,0,0
A628_RS00435,0,0,0,0,0,1,0
A628_RS00440,1,0,0,0,0,0,1
A628_RS00445,0,0,1,0,0,0,0
A628_RS00455,0,0,1,0,0,0,0
A628_RS00460,0,0,1,0,0,0,0
A628_RS00470,1,0,0,0,0,1,0
A628_RS00475,1,1,0,1,0,0,0
A628_RS00495,1,0,0,0,0,0,1
A628_RS00500,0,1,0,0,0,0,1
A628_RS00505,0,1,0,0,0,0,0
A628_RS00510,0,0,0,1,0,1,0
